Date,Adj Close,Close,High,Low,Open,Volume
2019-01-02,144.75369262695312,172.02999877929688,172.25,163.35000610351562,164.3300018310547,3999400
2019-01-03,142.6332550048828,169.50999450683594,171.77000427246094,168.2899932861328,170.66000366210938,4060200
2019-01-04,147.2948760986328,175.0500030517578,176.0,171.10000610351562,172.99000549316406,3788300
2019-01-07,148.11111450195312,176.02000427246094,177.8300018310547,172.27000427246094,175.22999572753906,3152100
2019-01-08,147.56411743164062,175.3699951171875,178.10000610351562,172.89999389648438,177.77999877929688,2692700
2019-01-09,148.48971557617188,176.47000122070312,177.69000244140625,174.91000366210938,176.10000610351562,3321400
2019-01-10,148.09423828125,176.0,178.07000732421875,175.5,175.66000366210938,2808700
2019-01-11,148.87680053710938,176.92999267578125,177.0399932861328,172.4199981689453,175.10000610351562,3182700
2019-01-14,150.38291931152344,178.72000122070312,179.5399932861328,174.10000610351562,174.52000427246094,3361700
2019-01-15,151.38430786132812,179.91000366210938,179.99000549316406,176.39999389648438,178.32000732421875,2911800
2019-01-16,165.8319091796875,197.0800018310547,198.14999389648438,185.60000610351562,187.0,15194200
2019-01-17,167.523193359375,199.08999633789062,199.8000030517578,192.8300018310547,195.9499969482422,8177000
2019-01-18,170.42616271972656,202.5399932861328,203.0,196.91000366210938,200.3800048828125,5650900
2019-01-22,166.3367462158203,197.67999267578125,201.47000122070312,195.9199981689453,200.5,4648500
2019-01-23,165.680419921875,196.89999389648438,198.08999633789062,194.52999877929688,197.5500030517578,3410700
2019-01-24,166.437744140625,197.8000030517578,199.67999267578125,195.75999450683594,196.22000122070312,2631800
2019-01-25,168.9115447998047,200.74000549316406,201.19000244140625,199.4199981689453,199.8300018310547,3275000
2019-01-28,168.0532989501953,199.72000122070312,200.07000732421875,197.10000610351562,197.99000549316406,2369600
2019-01-29,168.70962524414062,200.5,201.97000122070312,197.8699951171875,199.0,2694100
2019-01-30,170.3756866455078,202.47999572753906,203.2899932861328,199.64999389648438,200.89999389648438,2773300
2019-01-31,166.6144256591797,198.00999450683594,202.35000610351562,196.9499969482422,200.10000610351562,5604500
2019-02-01,165.37753295898438,196.5399932861328,199.63999938964844,196.5399932861328,198.0,3174200
2019-02-04,166.37042236328125,197.72000122070312,197.75999450683594,194.7899932861328,195.8000030517578,2400200
2019-02-05,166.6144256591797,198.00999450683594,199.3300018310547,196.86000061035156,198.1199951171875,2601000
2019-02-06,165.44483947753906,196.6199951171875,199.05999755859375,195.8300018310547,197.17999267578125,2063100
2019-02-07,162.45773315429688,193.07000732421875,195.8800048828125,191.0500030517578,195.27999877929688,2948800
2019-02-08,161.27967834472656,191.6699981689453,192.6199951171875,188.22000122070312,191.72000122070312,2757500
2019-02-11,160.99359130859375,191.3300018310547,193.32000732421875,191.07000732421875,192.8800048828125,2056500
2019-02-12,163.65255737304688,194.49000549316406,195.64999389648438,193.0,193.0500030517578,2392900
