Date,STLFSI4
2004-10-01,-0.6167
2004-10-08,-0.6017
2004-10-15,-0.449
2004-10-22,-0.4975
2004-10-29,-0.6688
2004-11-05,-0.8046
2004-11-12,-0.8371
2004-11-19,-0.7701
2004-11-26,-0.8319
2004-12-03,-0.7121
2004-12-10,-0.715
2004-12-17,-0.9067
2004-12-24,-0.8392
2004-12-31,-0.8359
2005-01-07,-0.731
2005-01-14,-0.7045
2005-01-21,-0.717
2005-01-28,-0.7872
2005-02-04,-0.8861
2005-02-11,-0.8508
2005-02-18,-0.948
2005-02-25,-0.959
2005-03-04,-0.9329
2005-03-11,-0.9495
2005-03-18,-0.7847
2005-03-25,-0.7309
2005-04-01,-0.7104
2005-04-08,-0.7303
2005-04-15,-0.6823
2005-04-22,-0.6123
2005-04-29,-0.754
2005-05-06,-0.7639
2005-05-13,-0.6062
2005-05-20,-0.5148
2005-05-27,-0.7998
2005-06-03,-0.7059
2005-06-10,-0.6933
2005-06-17,-0.785
2005-06-24,-0.6799
2005-07-01,-0.7931
2005-07-08,-0.7277
2005-07-15,-0.8955
2005-07-22,-0.8421
2005-07-29,-0.9324
2005-08-05,-0.9147
2005-08-12,-0.884
2005-08-19,-0.8135
2005-08-26,-0.8186
2005-09-02,-0.6487
2005-09-09,-0.8334
2005-09-16,-0.8404
2005-09-23,-0.7842
2005-09-30,-0.8439
2005-10-07,-0.7064
2005-10-14,-0.5713
2005-10-21,-0.832
2005-10-28,-0.8668
2005-11-04,-0.9029
2005-11-11,-0.8363
2005-11-18,-0.7289
2005-11-25,-0.7786
2005-12-02,-0.7157
2005-12-09,-0.7083
2005-12-16,-0.7292
2005-12-23,-0.6938
2005-12-30,-0.6538
2006-01-06,-0.8471
2006-01-13,-0.9938
2006-01-20,-0.8306
2006-01-27,-0.996
2006-02-03,-1.0555
2006-02-10,-0.931
2006-02-17,-1.0301
2006-02-24,-1.1158
2006-03-03,-1.0756
2006-03-10,-0.9616
2006-03-17,-1.0193
2006-03-24,-1.0563
2006-03-31,-1.0437
2006-04-07,-1.0195
2006-04-14,-0.9503
2006-04-21,-1.0392
2006-04-28,-1.0971
2006-05-05,-1.1039
2006-05-12,-1.1128
2006-05-19,-0.8837
2006-05-26,-0.7906
2006-06-02,-0.9205
2006-06-09,-0.8005
2006-06-16,-0.7292
2006-06-23,-0.8001
2006-06-30,-0.8557
2006-07-07,-0.9869
2006-07-14,-0.7878
2006-07-21,-0.7823
2006-07-28,-0.9343
2006-08-04,-0.8959
2006-08-11,-0.923
2006-08-18,-1.0279
2006-08-25,-0.9826
2006-09-01,-0.9483
2006-09-08,-0.9096
2006-09-15,-0.9419
2006-09-22,-0.8297
2006-09-29,-0.8035
2006-10-06,-0.8448
2006-10-13,-1.0202
2006-10-20,-0.9683
2006-10-27,-1.0061
2006-11-03,-0.893
2006-11-10,-1.0062
2006-11-17,-0.9993
2006-11-24,-0.9273
2006-12-01,-0.8002
2006-12-08,-0.9157
2006-12-15,-0.9868
2006-12-22,-0.9311
2006-12-29,-0.9644
2007-01-05,-0.8822
2007-01-12,-0.9886
2007-01-19,-1.0938
2007-01-26,-1.1294
2007-02-02,-1.0898
2007-02-09,-1.0947
2007-02-16,-1.1082
2007-02-23,-1.1325
2007-03-02,-0.6941
2007-03-09,-0.788
2007-03-16,-0.8453
2007-03-23,-1.0143
2007-03-30,-0.9508
2007-04-06,-0.9523
2007-04-13,-1.0234
2007-04-20,-1.0364
2007-04-27,-1.0094
2007-05-04,-0.9137
2007-05-11,-0.9646
2007-05-18,-0.9285
2007-05-25,-0.9713
2007-06-01,-0.9206
2007-06-08,-0.7971
2007-06-15,-0.717
2007-06-22,-0.6858
2007-06-29,-0.5581
2007-07-06,-0.7769
2007-07-13,-0.6895
2007-07-20,-0.6828
2007-07-27,-0.1442
2007-08-03,-0.0079
2007-08-10,0.1437
2007-08-17,1.2267
2007-08-24,1.2952
2007-08-31,1.007
2007-09-07,1.483
2007-09-14,1.5815
2007-09-21,0.719
2007-09-28,0.7074
2007-10-05,0.6333
2007-10-12,0.3635
2007-10-19,0.7314
2007-10-26,0.7963
2007-11-02,0.4758
2007-11-09,1.1512
2007-11-16,1.1728
2007-11-23,1.9276
2007-11-30,2.0795
2007-12-07,1.9637
2007-12-14,1.9365
2007-12-21,1.7894
2007-12-28,1.3304
2008-01-04,1.6177
2008-01-11,1.3002
2008-01-18,0.976
2008-01-25,1.6297
2008-02-01,0.9782
2008-02-08,1.5138
2008-02-15,1.3022
2008-02-22,1.1555
2008-02-29,1.4391
2008-03-07,2.4636
2008-03-14,2.0435
2008-03-21,2.3805
2008-03-28,1.6894
2008-04-04,1.7388
2008-04-11,1.8922
2008-04-18,1.9219
2008-04-25,1.7085
2008-05-02,1.3798
2008-05-09,1.2611
2008-05-16,1.0318
2008-05-23,0.9443
2008-05-30,0.9784
2008-06-06,1.3218
2008-06-13,1.2459
2008-06-20,1.2856
2008-06-27,1.7502
2008-07-04,1.8457
2008-07-11,1.7991
2008-07-18,1.771
2008-07-25,1.206
2008-08-01,1.6669
2008-08-08,1.5547
2008-08-15,1.5363
2008-08-22,1.7854
2008-08-29,1.5604
2008-09-05,1.8305
2008-09-12,1.9882
2008-09-19,4.1469
2008-09-26,4.5923
2008-10-03,7.2784
2008-10-10,9.6639
2008-10-17,9.6097
2008-10-24,8.1041
2008-10-31,7.7857
2008-11-07,6.2385
2008-11-14,6.0225
2008-11-21,7.724
2008-11-28,6.8837
2008-12-05,6.9707
2008-12-12,6.5778
2008-12-19,5.9852
2008-12-26,4.8106
2009-01-02,4.9454
2009-01-09,3.7481
2009-01-16,3.8276
2009-01-23,4.343
2009-01-30,4.0589
2009-02-06,3.5981
2009-02-13,3.6072
2009-02-20,4.1896
2009-02-27,4.1825
2009-03-06,4.7977
2009-03-13,3.9569
2009-03-20,3.352
2009-03-27,3.2255
2009-04-03,3.0393
2009-04-10,2.8164
2009-04-17,2.5948
2009-04-24,2.8489
2009-05-01,2.3432
2009-05-08,1.582
2009-05-15,2.0524
2009-05-22,1.5862
2009-05-29,1.3772
2009-06-05,1.2199
2009-06-12,1.0199
2009-06-19,1.5978
2009-06-26,1.656
2009-07-03,1.2144
2009-07-10,1.4729
2009-07-17,1.0135
2009-07-24,0.7837
2009-07-31,0.525
2009-08-07,0.1701
2009-08-14,0.7979
2009-08-21,0.9691
2009-08-28,0.5451
2009-09-04,0.7095
2009-09-11,0.363
2009-09-18,0.0392
2009-09-25,0.1769
2009-10-02,0.4235
2009-10-09,0.2877
2009-10-16,0.1411
2009-10-23,0.198
2009-10-30,0.4251
2009-11-06,0.3935
2009-11-13,0.0349
2009-11-20,0.1584
2009-11-27,0.1577
2009-12-04,0.0632
2009-12-11,0.0017
2009-12-18,-0.1483
2009-12-25,-0.24
2010-01-01,-0.2162
2010-01-08,-0.399
2010-01-15,-0.3594
2010-01-22,-0.0836
2010-01-29,0.0519
2010-02-05,-0.0566
2010-02-12,0.1102
2010-02-19,-0.2181
2010-02-26,-0.2314
2010-03-05,-0.272
2010-03-12,-0.5656
2010-03-19,-0.4365
2010-03-26,-0.4012
2010-04-02,-0.3585
2010-04-09,-0.4732
2010-04-16,-0.4557
2010-04-23,-0.4228
2010-04-30,-0.1963
2010-05-07,0.4134
2010-05-14,0.3492
2010-05-21,0.9779
2010-05-28,1.0223
2010-06-04,0.817
2010-06-11,0.9698
2010-06-18,0.5016
2010-06-25,0.5838
2010-07-02,0.9389
2010-07-09,0.5603
2010-07-16,0.353
2010-07-23,0.5007
2010-07-30,0.1694
2010-08-06,0.1972
2010-08-13,0.4131
2010-08-20,0.4362
2010-08-27,0.458
2010-09-03,0.2747
2010-09-10,0.0562
2010-09-17,0.004
2010-09-24,0.0837
2010-10-01,0.106
2010-10-08,0.0034
2010-10-15,-0.2013
2010-10-22,-0.0732
2010-10-29,-0.2299
2010-11-05,-0.1396
2010-11-12,-0.244
2010-11-19,0.0099
2010-11-26,0.0252
2010-12-03,-0.0164
2010-12-10,-0.2876
2010-12-17,-0.2005
2010-12-24,-0.2487
2010-12-31,-0.2455
2011-01-07,-0.3282
2011-01-14,-0.3117
2011-01-21,-0.3254
2011-01-28,-0.2701
2011-02-04,-0.3867
2011-02-11,-0.4612
2011-02-18,-0.3134
2011-02-25,-0.0959
2011-03-04,-0.239
2011-03-11,-0.2428
2011-03-18,0.078
2011-03-25,-0.3331
2011-04-01,-0.3501
2011-04-08,-0.4247
2011-04-15,-0.387
2011-04-22,-0.4087
2011-04-29,-0.5248
2011-05-06,-0.3413
2011-05-13,-0.359
2011-05-20,-0.3211
2011-05-27,-0.2838
2011-06-03,-0.2112
2011-06-10,-0.1445
2011-06-17,-0.136
2011-06-24,-0.1212
2011-07-01,-0.3969
2011-07-08,-0.3633
2011-07-15,-0.0195
2011-07-22,-0.2948
2011-07-29,-0.2714
2011-08-05,0.3385
2011-08-12,1.3178
2011-08-19,0.5282
2011-08-26,0.8687
2011-09-02,0.5118
2011-09-09,0.9064
2011-09-16,0.7719
2011-09-23,1.1029
2011-09-30,1.1447
2011-10-07,1.3793
2011-10-14,0.4721
2011-10-21,0.6676
2011-10-28,0.309
2011-11-04,0.858
2011-11-11,0.784
2011-11-18,1.027
2011-11-25,1.2368
2011-12-02,0.682
2011-12-09,0.6292
2011-12-16,0.8963
2011-12-23,0.6482
2011-12-30,0.6532
2012-01-06,0.5362
2012-01-13,0.5632
2012-01-20,0.4269
2012-01-27,0.318
2012-02-03,0.2868
2012-02-10,0.0912
2012-02-17,0.1966
2012-02-24,0.0616
2012-03-02,0.0414
2012-03-09,0.1642
2012-03-16,-0.2052
2012-03-23,-0.0814
2012-03-30,0.017
2012-04-06,0.0628
2012-04-13,0.2775
2012-04-20,0.0327
2012-04-27,-0.0101
2012-05-04,-0.0668
2012-05-11,0.1015
2012-05-18,0.447
2012-05-25,0.3586
2012-06-01,0.451
2012-06-08,0.4264
2012-06-15,0.2119
2012-06-22,0.0484
2012-06-29,0.1168
2012-07-06,0.0283
2012-07-13,0.1263
2012-07-20,-0.0318
2012-07-27,0.1044
2012-08-03,-0.1368
