contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,snapshot_date,expiry
KRE260930C00045000,2025-10-01 17:42:06+00:00,45.0,19.85,16.0,20.1,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00048000,2025-10-08 15:36:14+00:00,48.0,18.25,13.3,18.0,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00050000,2025-11-13 16:34:43+00:00,50.0,14.49,17.05,20.15,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00052000,2026-07-29 14:00:32+00:00,52.0,24.3,20.45,24.5,0.0,0.0,,0,0.6689486230468751,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00054000,2026-07-29 14:00:32+00:00,54.0,22.35,19.1,22.35,0.0,0.0,2.0,1,0.7314479980468749,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00055000,2026-07-29 14:00:32+00:00,55.0,21.45,18.1,21.5,0.0,0.0,2.0,18,0.7246121289062499,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00057000,2026-07-29 14:00:32+00:00,57.0,19.5,15.6,19.55,0.0,0.0,2.0,32,0.570316796875,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00058000,2026-01-09 17:13:02+00:00,58.0,13.2,14.45,18.45,0.0,0.0,2.0,1,0.9951172363281251,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00059000,2025-11-13 16:33:47+00:00,59.0,8.35,9.8,13.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00060000,2026-07-29 14:00:31+00:00,60.0,16.6,12.4,16.45,0.0,0.0,,6,0.905274384765625,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00061000,2026-07-29 14:00:31+00:00,61.0,15.6,11.85,15.55,0.0,0.0,,7,0.877930908203125,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00062000,2026-07-29 14:00:32+00:00,62.0,14.58,10.4,14.6,0.0,0.0,16.0,9,0.8413101806640625,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00063000,2026-06-30 16:49:34+00:00,63.0,12.99,9.7,14.05,0.0,0.0,30.0,34,0.8669446899414062,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00064000,2026-07-29 14:00:31+00:00,64.0,12.8,8.6,12.65,0.0,0.0,12.0,41,0.7597680273437502,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00065000,2026-07-29 14:00:31+00:00,65.0,11.85,7.5,11.65,0.0,0.0,6.0,94,0.7150907397460937,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00066000,2026-06-01 13:33:32+00:00,66.0,6.1,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00067000,2026-07-31 16:23:15+00:00,67.0,9.65,5.55,9.7,0.0,0.0,2.0,10,0.6323278955078125,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00068000,2026-08-27 14:06:39+00:00,68.0,6.15,4.6,8.8,0.0,0.0,2.0,19,0.6003457934570313,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00069000,2026-07-21 14:52:14+00:00,69.0,7.71,4.45,8.4,0.0,0.0,1.0,1,0.6315954809570312,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00070000,2026-08-27 13:30:02+00:00,70.0,4.85,2.8,6.95,0.0,0.0,1.0,107,0.5256395092773438,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00071000,2026-07-20 17:33:29+00:00,71.0,6.5,2.7,6.65,0.0,0.0,19.0,38,0.5625043750000001,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00072000,2026-08-24 15:00:23+00:00,72.0,4.1,1.2,5.0,0.0,0.0,2.0,4,0.43286699951171875,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00073000,2026-08-24 15:01:02+00:00,73.0,3.3,0.5,4.6,0.0,0.0,2.0,13,0.45044494873046875,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00074000,2026-08-28 16:31:59+00:00,74.0,1.97,0.65,2.59,-2.41,-55.02283,6.0,16,0.278327529296875,True,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00075000,2026-08-28 15:18:22+00:00,75.0,1.59,0.0,3.7,-0.65,-29.017857,1.0,150,0.4585015087890626,False,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00080000,2026-08-28 15:18:22+00:00,80.0,0.31,0.0,1.09,-0.27999997,-47.457623,3001.0,3129,0.3464420825195312,False,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00085000,2026-08-25 17:12:58+00:00,85.0,0.11,0.0,0.18,0.0,0.0,43.0,1063,0.2929758203124999,False,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00090000,2026-08-19 13:30:22+00:00,90.0,0.05,0.0,2.13,0.0,0.0,1.0,3,0.6054726953125001,False,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930C00095000,2026-07-30 19:50:00+00:00,95.0,0.03,0.0,2.13,0.0,0.0,6.0,4,0.7126493579101563,False,REGULAR,USD,call,2026-08-30,2026-09-30
KRE260930P00045000,2026-08-11 13:30:02+00:00,45.0,0.02,0.0,0.5,0.0,0.0,20.0,38,0.9570316796874999,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00048000,2026-01-05 14:39:25+00:00,48.0,1.11,0.0,2.9,0.0,0.0,8.0,7,1.2993199096679686,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00049000,2026-04-07 13:30:01+00:00,49.0,1.15,0.0,2.62,0.0,0.0,10.0,10,1.2138711181640622,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00050000,2026-05-08 14:14:18+00:00,50.0,0.5,0.0,2.08,0.0,0.0,2.0,37,1.091801416015625,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00051000,2026-05-27 15:46:46+00:00,51.0,0.4,0.0,0.0,0.0,0.0,22.0,0,0.2500075,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00052000,2026-08-27 14:49:36+00:00,52.0,0.06,0.01,0.3,0.0,0.0,8.0,39,0.6552768847656252,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00053000,2026-04-08 13:30:00+00:00,53.0,1.32,0.0,2.9,0.0,0.0,3.0,8,1.070805427246094,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00054000,2026-06-12 16:51:17+00:00,54.0,0.37,0.0,1.0,0.0,0.0,2.0,125,0.7597680273437502,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00055000,2026-08-27 14:49:39+00:00,55.0,0.03,0.0,0.12,0.0,0.0,8.0,2130,0.5410202148437502,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00056000,2026-06-29 13:32:53+00:00,56.0,0.24,0.0,0.55,0.0,0.0,1.0,179,0.6015664843750002,False,REGULAR,USD,put,2026-08-30,2026-09-30
KRE260930P00057000,2026-06-15 14:01:42+00:00,57.0,0.43,0.0,1.95,0.0,0.0,2.0,35,0.7905294384765625,False,REGULAR,USD,put,2026-08-30,2026-09-30
