contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,snapshot_date,expiry
KRE261231C00050000,2026-04-15 17:54:23+00:00,50.0,21.25,16.15,21.0,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00051000,2026-04-15 18:53:04+00:00,51.0,20.35,15.6,19.6,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00052000,2026-04-15 18:52:53+00:00,52.0,19.55,14.85,18.75,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00055000,2026-07-30 18:23:35+00:00,55.0,22.2,17.8,21.95,0.0,0.0,8.0,5,0.6250037500000001,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00056000,2026-04-17 19:54:47+00:00,56.0,16.85,13.55,18.5,0.0,0.0,6.0,4,0.28613995117187496,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00058000,2026-01-09 20:16:29+00:00,58.0,13.94,15.0,19.5,0.0,0.0,,0,0.5993692407226563,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00059000,2026-01-09 17:13:02+00:00,59.0,13.41,14.0,19.0,0.0,0.0,,1,0.6152382226562501,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00060000,2026-06-17 17:14:54+00:00,60.0,14.32,14.5,18.4,0.0,0.0,1.0,1,0.6206092626953126,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00062000,2026-03-23 17:31:51+00:00,62.0,8.91,10.1,14.0,0.0,0.0,,1,0.37573866455078125,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00063000,2026-07-20 13:49:34+00:00,63.0,15.35,11.0,15.0,0.0,0.0,,1,0.5123339782714844,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00064000,2026-07-20 13:49:34+00:00,64.0,14.18,10.15,14.15,0.0,0.0,,1,0.4978077563476563,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00065000,2026-07-08 19:54:19+00:00,65.0,11.08,9.25,13.3,0.0,0.0,1.0,5,0.4826711889648438,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00066000,2026-07-20 13:49:34+00:00,66.0,12.58,8.5,12.45,0.0,0.0,,0,0.46716841430664063,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00067000,2026-08-03 17:16:59+00:00,67.0,11.9,6.95,11.1,0.0,0.0,2.0,5,0.41760836303710935,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00068000,2026-05-11 19:01:48+00:00,68.0,6.65,7.55,9.25,0.0,0.0,2.0,3,0.3354558642578125,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00069000,2026-07-20 13:49:34+00:00,69.0,10.25,6.1,10.15,0.0,0.0,6.0,5,0.43286699951171875,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00070000,2026-07-29 18:19:58+00:00,70.0,9.76,4.7,7.4,0.0,0.0,1.0,136,0.2957834094238281,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00071000,2026-07-20 13:49:33+00:00,71.0,9.0,5.65,8.7,0.0,0.0,19.0,16,0.41089456298828125,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00072000,2026-08-12 19:11:42+00:00,72.0,8.2,3.35,7.6,0.0,0.0,11.0,11,0.375982802734375,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00073000,2026-08-27 13:30:02+00:00,73.0,4.95,2.74,7.0,0.0,0.0,1.0,9,0.3702455554199219,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00074000,2026-08-12 19:28:36+00:00,74.0,6.85,2.2,6.4,0.0,0.0,20.0,24,0.36304347900390627,True,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00075000,2026-08-12 19:40:21+00:00,75.0,6.3,2.73,5.9,0.0,0.0,10.0,91,0.3602969244384765,False,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00080000,2026-08-28 18:37:15+00:00,80.0,1.82,1.22,3.95,-0.19999993,-9.900987,12.0,331,0.3575503698730469,False,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00085000,2026-08-17 16:22:32+00:00,85.0,1.86,0.0,2.62,0.0,0.0,1.0,17,0.35986968261718744,False,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00090000,2026-07-20 13:49:35+00:00,90.0,1.17,0.06,1.04,0.0,0.0,2.0,239,0.3051827294921875,False,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231C00095000,2026-08-28 14:08:45+00:00,95.0,0.26,0.0,0.74,-0.19,-42.22222,4.0,4,0.3266668896484375,False,REGULAR,USD,call,2026-08-30,2026-12-31
KRE261231P00045000,2026-07-20 13:30:02+00:00,45.0,0.27,0.0,0.74,0.0,0.0,1.0,4,0.524418818359375,False,REGULAR,USD,put,2026-08-30,2026-12-31
KRE261231P00048000,2026-05-11 18:51:05+00:00,48.0,0.88,0.4,0.57,0.0,0.0,13.0,381,0.5136767382812499,False,REGULAR,USD,put,2026-08-30,2026-12-31
KRE261231P00049000,2026-03-18 14:36:13+00:00,49.0,2.34,0.84,1.5,0.0,0.0,1.0,272,0.5961954443359375,False,REGULAR,USD,put,2026-08-30,2026-12-31
