contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,snapshot_date,expiry
KRE260918C00030000,2026-06-03 15:47:59+00:00,30.0,38.18,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00035000,2026-06-03 15:47:58+00:00,35.0,33.2,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00040000,2026-08-26 17:55:02+00:00,40.0,34.99,32.35,36.45,0.0,0.0,2.0,6,1.25390998046875,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00045000,2026-08-26 17:55:02+00:00,45.0,30.01,27.45,31.5,0.0,0.0,2.0,3,1.1347699511718752,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00050000,2026-06-22 17:16:08+00:00,50.0,22.55,23.35,27.25,0.0,0.0,1.0,2,1.3657258276367186,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00055000,2026-07-31 19:11:33+00:00,55.0,21.3,17.9,21.5,0.0,0.0,25.0,283,0.86914193359375,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00056000,2026-08-21 14:50:14+00:00,56.0,18.58,16.35,20.5,0.0,0.0,1.0,0,0.6543003320312502,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00059000,2026-05-14 14:17:57+00:00,59.0,10.81,13.75,15.05,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00060000,2026-08-04 14:10:47+00:00,60.0,17.5,12.6,16.55,0.0,0.0,2.0,161,0.6074258007812501,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00061000,2026-08-05 13:57:56+00:00,61.0,17.08,11.4,15.35,0.0,0.0,3.0,88,1.0673874755859378,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00062000,2026-07-15 14:54:37+00:00,62.0,14.65,10.8,15.0,0.0,0.0,2.0,153,0.6528355029296876,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00063000,2026-08-24 19:59:56+00:00,63.0,12.31,9.4,13.55,0.0,0.0,2.0,166,0.9975586181640624,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00064000,2026-08-25 17:17:29+00:00,64.0,10.6,8.95,11.25,0.0,0.0,6.0,219,0.6611362011718751,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00065000,2026-08-10 15:52:02+00:00,65.0,11.3,8.5,11.5,0.0,0.0,2.0,3304,0.5522505712890625,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00066000,2026-08-25 17:17:45+00:00,66.0,8.72,7.35,10.6,0.0,0.0,4.0,116,0.5019581054687501,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00067000,2026-08-28 18:06:14+00:00,67.0,7.57,6.85,8.0,-0.089999676,-1.1749305,51.0,663,0.4643608251953125,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00068000,2026-08-28 18:02:49+00:00,68.0,6.55,6.0,7.2,0.5300002,8.80399,2.0,361,0.4633842724609375,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00069000,2026-08-27 14:47:13+00:00,69.0,5.25,4.7,7.75,0.0,0.0,15.0,333,0.692385888671875,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00069500,2026-08-28 18:02:22+00:00,69.5,5.22,3.3,6.0,0.6199999,13.478258,3.0,5,0.44873598144531246,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00070000,2026-08-28 17:03:40+00:00,70.0,4.75,4.05,6.55,0.6500001,15.853662,2.0,23393,0.6005899316406251,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00070500,2026-08-28 18:01:59+00:00,70.5,4.22,2.83,4.7,-0.0800004,-1.8604745,2.0,125,0.3435124243164062,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00071000,2026-08-28 19:19:21+00:00,71.0,4.0,2.21,5.0,0.0,0.0,62.0,839,0.45313046875,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00071500,2026-08-27 14:46:23+00:00,71.5,3.1,1.39,5.2,0.0,0.0,119.0,118,0.5334519311523438,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00072000,2026-08-28 20:07:08+00:00,72.0,3.02,2.57,3.55,0.23000002,8.243729,74.0,5668,0.32398136962890617,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00072500,2026-08-28 18:04:47+00:00,72.5,2.72,2.21,3.1,0.47000003,20.888891,2.0,16,0.30298548583984375,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00073000,2026-08-28 18:00:20+00:00,73.0,2.29,1.54,2.69,-0.1400001,-5.761321,4.0,1301,0.2866282275390625,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00073500,2026-08-28 18:04:32+00:00,73.5,2.03,0.4,4.3,-0.11000013,-5.140193,128.0,36,0.5634809277343751,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00074000,2026-08-28 19:51:51+00:00,74.0,1.74,0.93,2.8,0.0,0.0,14.0,1597,0.38233039550781245,True,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00074500,2026-08-28 17:07:44+00:00,74.5,1.42,0.0,3.7,0.25,21.367521,6.0,19,0.5471236694335939,False,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00075000,2026-08-28 19:08:07+00:00,75.0,1.23,0.0,1.9,-0.01999998,-1.5999984,294.0,36003,0.32031929687499994,False,REGULAR,USD,call,2026-08-30,2026-09-18
KRE260918C00075500,2026-08-28 17:07:44+00:00,75.5,0.97,0.38,1.32,-0.059999943,-5.8252373,3.0,805,0.26563234375,False,REGULAR,USD,call,2026-08-30,2026-09-18
