contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,snapshot_date,expiry
KRE260925C00072000,2026-08-11 18:40:12+00:00,72.0,5.66,1.1,5.0,0.0,0.0,,1,0.47119669433593747,True,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00073000,2026-08-26 19:08:13+00:00,73.0,2.96,0.38,3.15,0.0,0.0,2.0,4,0.3061592822265625,True,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00073500,2026-08-26 19:09:34+00:00,73.5,2.62,0.3,4.4,0.0,0.0,2.0,2,0.4975636181640626,True,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00074000,2026-08-26 19:07:34+00:00,74.0,2.25,0.02,2.68,0.0,0.0,2.0,10,0.3142158422851562,True,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00074500,2026-08-26 19:10:06+00:00,74.5,1.95,0.0,2.45,0.0,0.0,2.0,2,0.3156806713867187,False,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00075000,2026-08-24 14:57:59+00:00,75.0,2.14,0.01,3.6,0.0,0.0,2.0,5,0.48682153808593753,False,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00075500,2026-08-28 13:56:32+00:00,75.5,1.27,0.67,1.59,-0.32000005,-20.125788,4.0,36,0.2629468237304688,False,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00076000,2026-08-19 18:53:57+00:00,76.0,1.72,0.0,3.15,0.0,0.0,,1,0.4836477416992188,False,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00076500,2026-08-19 18:53:29+00:00,76.5,1.45,0.0,2.98,0.0,0.0,,1,0.48730981445312505,False,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00077000,2026-08-28 14:39:18+00:00,77.0,0.65,0.21,1.42,-0.44000006,-40.366978,47.0,5,0.3103096313476562,False,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00077500,2026-08-19 18:52:36+00:00,77.5,1.16,0.0,1.36,0.0,0.0,,5,0.32300481689453114,False,REGULAR,USD,call,2026-08-30,2026-09-25
KRE260925C00078000,2026-08-27 19:24:58+00:00,78.0,0.5,0.0,2.46,0.0,0.0,6.0,10,0.4897511962890626,False,REGULAR,USD,call,2026-08-30,2026-09-25
