contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,snapshot_date,expiry
KRE261002C00078000,2026-08-26 13:40:10+00:00,78.0,0.94,0.0,2.75,0.0,0.0,1.0,4,0.46973186523437505,False,REGULAR,USD,call,2026-08-30,2026-10-02
KRE261002C00080000,2026-08-26 15:07:30+00:00,80.0,0.51,0.0,2.39,0.0,0.0,1.0,30,0.5009815527343751,False,REGULAR,USD,call,2026-08-30,2026-10-02
KRE261002C00080500,2026-08-26 17:43:28+00:00,80.5,0.48,0.0,2.39,0.0,0.0,1.0,1,0.5180712255859375,False,REGULAR,USD,call,2026-08-30,2026-10-02
KRE261002C00082000,2026-08-27 13:45:08+00:00,82.0,0.2,0.0,0.81,0.0,0.0,252.0,255,0.3513248461914062,False,REGULAR,USD,call,2026-08-30,2026-10-02
KRE261002P00065000,2026-08-27 19:00:18+00:00,65.0,0.24,0.0,0.63,0.0,0.0,20.0,22,0.40918559570312496,False,REGULAR,USD,put,2026-08-30,2026-10-02
KRE261002P00067000,2026-08-19 16:05:06+00:00,67.0,0.32,0.0,1.22,0.0,0.0,57.0,0,0.44336494140625,False,REGULAR,USD,put,2026-08-30,2026-10-02
KRE261002P00069000,2026-08-25 15:09:05+00:00,69.0,0.61,0.0,1.11,0.0,0.0,3.0,3,0.3505924316406249,False,REGULAR,USD,put,2026-08-30,2026-10-02
KRE261002P00070000,2026-08-27 19:00:18+00:00,70.0,0.72,0.12,1.31,0.0,0.0,23.0,47,0.3393620751953125,False,REGULAR,USD,put,2026-08-30,2026-10-02
KRE261002P00071000,2026-08-28 13:51:19+00:00,71.0,0.79,0.24,1.45,-0.109999955,-12.222218,1.0,2,0.3161689477539062,False,REGULAR,USD,put,2026-08-30,2026-10-02
KRE261002P00071500,2026-08-17 18:47:45+00:00,71.5,0.64,0.69,1.46,0.0,0.0,,1,0.295905478515625,False,REGULAR,USD,put,2026-08-30,2026-10-02
KRE261002P00072500,2026-08-26 13:56:56+00:00,72.5,1.35,0.65,3.4,0.0,0.0,3.0,4,0.47485876708984376,False,REGULAR,USD,put,2026-08-30,2026-10-02
KRE261002P00073500,2026-08-28 15:42:45+00:00,73.5,1.66,0.79,3.75,-0.24000001,-12.63158,1.0,7,0.4602104760742188,False,REGULAR,USD,put,2026-08-30,2026-10-02
KRE261002P00078000,2026-08-20 16:17:40+00:00,78.0,4.31,2.67,6.5,0.0,0.0,5.0,5,0.47559118164062497,True,REGULAR,USD,put,2026-08-30,2026-10-02
