contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,snapshot_date,expiry
KRE260904C00040000,2026-08-20 17:07:18+00:00,40.0,35.1,32.35,36.4,0.0,0.0,,1,2.1953170117187497,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00068500,2026-08-27 14:11:49+00:00,68.5,5.23,5.0,7.95,0.0,0.0,2.0,2,0.7158231542968749,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00069000,2026-08-25 16:16:10+00:00,69.0,5.55,3.6,7.45,0.0,0.0,2.0,12,1.171879140625,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00069500,2026-08-27 15:01:55+00:00,69.5,4.55,4.65,7.0,0.0,0.0,5.0,11,0.7597680273437502,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00070000,2026-08-27 14:06:34+00:00,70.0,3.9,2.34,6.5,0.0,0.0,2.0,6,1.0815475610351561,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00070500,2026-08-27 14:11:26+00:00,70.5,3.4,3.55,6.0,0.0,0.0,6.0,6,0.6523472265625001,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00071000,2026-08-25 16:48:02+00:00,71.0,3.67,1.38,5.55,0.0,0.0,6.0,5,0.9873048144531251,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00071500,2026-08-26 19:32:54+00:00,71.5,3.36,1.9,5.0,0.0,0.0,2.0,7,0.9174812939453125,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00072000,2026-08-27 14:04:53+00:00,72.0,2.2,0.45,4.3,0.0,0.0,9.0,16,0.8051777294921875,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00072500,2026-08-27 14:09:26+00:00,72.5,1.77,0.17,4.2,0.0,0.0,4.0,108,0.858399853515625,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00073000,2026-08-27 14:46:24+00:00,73.0,1.41,1.01,4.0,0.0,0.0,3.0,118,0.8789074609374999,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00073500,2026-08-28 15:28:34+00:00,73.5,1.45,0.59,1.66,0.2800001,23.931633,2.0,28,0.32227240234374993,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00074000,2026-08-28 19:18:05+00:00,74.0,1.01,0.0,1.29,-0.110000014,-9.82143,73.0,487,0.29883513671874995,True,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00074500,2026-08-28 19:38:18+00:00,74.5,0.71,0.43,1.12,-0.14000005,-16.470592,22.0,195,0.3198310205078124,False,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00075000,2026-08-28 19:19:58+00:00,75.0,0.55,0.0,2.41,-0.06999999,-11.290321,27.0,337,0.7192410888671875,False,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00075500,2026-08-28 19:15:16+00:00,75.5,0.34,0.0,0.62,-0.09,-20.930233,15.0,313,0.2919992675781249,False,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00076000,2026-08-28 19:49:33+00:00,76.0,0.23,0.0,1.04,-0.08,-25.80645,26.0,1763,0.4580132324218751,False,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00076500,2026-08-28 19:27:59+00:00,76.5,0.17,0.02,0.17,-0.049999997,-22.727272,59.0,50,0.22168747070312497,False,REGULAR,USD,call,2026-08-30,2026-09-04
KRE260904C00077000,2026-08-28 19:41:46+00:00,77.0,0.12,0.0,0.16,-0.009999998,-7.6923065,23.0,79,0.249030947265625,False,REGULAR,USD,call,2026-08-30,2026-09-04
