contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,snapshot_date,expiry
KRE260911P00070500,2026-08-20 19:44:14+00:00,70.5,0.39,0.0,0.27,0.0,0.0,,1,0.26367923828125,False,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00071000,2026-08-25 19:00:37+00:00,71.0,0.38,0.0,0.92,0.0,0.0,100.0,103,0.39942006835937505,False,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00071500,2026-08-18 18:02:31+00:00,71.5,0.33,0.0,2.41,0.0,0.0,1.0,1,0.6635775830078127,False,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00072000,2026-08-27 18:27:05+00:00,72.0,0.49,0.2,2.48,0.0,0.0,2.0,7,0.6379430737304688,False,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00072500,2026-08-24 14:08:01+00:00,72.5,0.56,0.0,2.57,0.0,0.0,3.0,3,0.6147499462890625,False,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00073000,2026-08-25 19:00:37+00:00,73.0,0.85,0.0,0.91,0.0,0.0,201.0,203,0.2651440673828125,False,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00073500,2026-08-27 18:42:16+00:00,73.5,0.85,0.0,2.8,0.0,0.0,39.0,158,0.5725140405273439,False,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00074000,2026-08-28 18:40:48+00:00,74.0,0.93,0.8,2.95,-0.04000002,-4.1237135,5.0,19,0.5551802294921876,False,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00074500,2026-08-26 13:50:28+00:00,74.5,1.33,0.0,3.15,0.0,0.0,3.0,16,0.5444381494140625,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00075000,2026-08-28 13:50:14+00:00,75.0,1.39,0.0,3.4,-0.13999999,-9.150326,1.0,131,0.5405319384765627,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00075500,2026-08-28 19:38:27+00:00,75.5,1.63,0.74,3.75,-0.110000014,-6.32184,20.0,2,0.5522505712890625,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00076000,2026-08-26 15:29:11+00:00,76.0,2.04,0.08,3.1,0.0,0.0,5.0,8,0.3789124609375,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00076500,2026-08-28 19:51:18+00:00,76.5,2.45,0.65,4.45,0.06999993,2.9411736,10.0,3,0.5695843823242188,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00077000,2026-08-21 18:03:08+00:00,77.0,2.77,0.97,4.85,0.0,0.0,2.0,5,0.5844768115234374,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00077500,2026-08-21 18:03:11+00:00,77.5,3.05,1.33,5.4,0.0,0.0,2.0,1,0.6259803027343751,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00078000,2026-08-21 18:03:59+00:00,78.0,3.47,1.79,5.9,0.0,0.0,4.0,25,0.657229990234375,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00078500,2026-08-21 18:04:04+00:00,78.5,3.92,2.39,6.35,0.0,0.0,2.0,5,0.6777375976562501,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00079000,2026-08-21 18:11:03+00:00,79.0,4.3,2.89,6.8,0.0,0.0,2.0,4,0.6972686523437501,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00079500,2026-08-21 18:04:39+00:00,79.5,4.75,3.95,7.3,0.0,0.0,5.0,6,0.7258328198242188,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00080000,2026-08-21 18:09:16+00:00,80.0,5.27,4.45,7.8,0.0,0.0,6.0,3,0.7534204345703125,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00080500,2026-08-21 18:05:01+00:00,80.5,5.7,4.15,8.3,0.0,0.0,2.0,1,0.7807639111328125,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00081000,2026-08-21 18:07:14+00:00,81.0,6.17,4.6,8.75,0.0,0.0,4.0,0,0.7971211694335938,True,REGULAR,USD,put,2026-08-30,2026-09-11
KRE260911P00081500,2026-08-28 17:49:06+00:00,81.5,7.25,6.45,8.05,0.5999999,9.022554,2.0,1,0.5566450585937501,True,REGULAR,USD,put,2026-08-30,2026-09-11
